state_id,cluster_id,split_role,regime_id,entropy,voi_oracle_raw,delta_u_force_explore,delta_u,useful_label,proxy_kernel_name,true_kernel_name,R_drs,R_jsd,R_tv,R_entropy,voi_bound_tv
misspecified_observation|b=0.3|c=0.25,misspecified_observation,registered_test,misspecified_observation,0.8812908992306927,0.22000000000000008,-0.029999999999999916,,NEAR_ZERO,heavy_overlap,bernoulli_0.92,0.0,0.0006722080080911345,0.040000000000000036,0.6108643020548935,0.3528
misspecified_observation|b=0.5|c=0.02,misspecified_observation,registered_test,misspecified_observation,1.0,0.42000000000000004,0.4,,BENEFICIAL,heavy_overlap,bernoulli_0.92,0.5,0.0008002134699838133,0.040000000000000036,0.6931471805599453,0.42000000000000004
misspecified_observation|b=0.5|c=0.1,misspecified_observation,registered_test,misspecified_observation,1.0,0.42000000000000004,0.32000000000000006,,BENEFICIAL,heavy_overlap,bernoulli_0.92,0.5,0.0008002134699838133,0.040000000000000036,0.6931471805599453,0.42000000000000004
misspecified_observation|b=0.5|c=0.25,misspecified_observation,registered_test,misspecified_observation,1.0,0.42000000000000004,0.17000000000000004,,BENEFICIAL,heavy_overlap,bernoulli_0.92,0.5,0.0008002134699838133,0.040000000000000036,0.6931471805599453,0.42000000000000004
misspecified_observation|b=0.7|c=0.02,misspecified_observation,registered_test,misspecified_observation,0.8812908992306927,0.2200000000000002,0.2000000000000002,,BENEFICIAL,heavy_overlap,bernoulli_0.92,0.0,0.0006722080080911346,0.040000000000000036,0.6108643020548935,0.35280000000000006
misspecified_observation|b=0.7|c=0.1,misspecified_observation,registered_test,misspecified_observation,0.8812908992306927,0.2200000000000002,0.12000000000000019,,BENEFICIAL,heavy_overlap,bernoulli_0.92,0.0,0.0006722080080911346,0.040000000000000036,0.6108643020548935,0.35280000000000006
misspecified_observation|b=0.7|c=0.25,misspecified_observation,registered_test,misspecified_observation,0.8812908992306927,0.2200000000000002,-0.029999999999999805,,NEAR_ZERO,heavy_overlap,bernoulli_0.92,0.0,0.0006722080080911346,0.040000000000000036,0.6108643020548935,0.35280000000000006
heldout_family_true_proxy|b=0.46|c=0.02,heldout_family_true_proxy,registered_test,heldout_family_true_proxy,0.9953784388202258,0.36,0.33999999999999997,,BENEFICIAL,multimodal,multimodal,0.46799999999999997,0.36601480677147524,0.8,0.6899437584583995,0.39744000000000007
heldout_family_true_proxy|b=0.46|c=0.1,heldout_family_true_proxy,registered_test,heldout_family_true_proxy,0.9953784388202258,0.36,0.26,,BENEFICIAL,multimodal,multimodal,0.46799999999999997,0.36601480677147524,0.8,0.6899437584583995,0.39744000000000007
heldout_family_true_proxy|b=0.46|c=0.25,heldout_family_true_proxy,registered_test,heldout_family_true_proxy,0.9953784388202258,0.36,0.10999999999999999,,BENEFICIAL,multimodal,multimodal,0.46799999999999997,0.36601480677147524,0.8,0.6899437584583995,0.39744000000000007
heldout_family_true_proxy|b=0.5|c=0.02,heldout_family_true_proxy,registered_test,heldout_family_true_proxy,1.0,0.4,0.38,,BENEFICIAL,multimodal,multimodal,0.5,0.3680642071684971,0.8,0.6931471805599453,0.4
heldout_family_true_proxy|b=0.5|c=0.1,heldout_family_true_proxy,registered_test,heldout_family_true_proxy,1.0,0.4,0.30000000000000004,,BENEFICIAL,multimodal,multimodal,0.5,0.3680642071684971,0.8,0.6931471805599453,0.4
heldout_family_true_proxy|b=0.5|c=0.25,heldout_family_true_proxy,registered_test,heldout_family_true_proxy,1.0,0.4,0.15000000000000002,,BENEFICIAL,multimodal,multimodal,0.5,0.3680642071684971,0.8,0.6931471805599453,0.4
heldout_family_true_proxy|b=0.54|c=0.02,heldout_family_true_proxy,registered_test,heldout_family_true_proxy,0.9953784388202258,0.36,0.33999999999999997,,BENEFICIAL,multimodal,multimodal,0.46799999999999997,0.36601480677147535,0.8,0.6899437584583995,0.39744
heldout_family_true_proxy|b=0.54|c=0.1,heldout_family_true_proxy,registered_test,heldout_family_true_proxy,0.9953784388202258,0.36,0.26,,BENEFICIAL,multimodal,multimodal,0.46799999999999997,0.36601480677147535,0.8,0.6899437584583995,0.39744
heldout_family_true_proxy|b=0.54|c=0.25,heldout_family_true_proxy,registered_test,heldout_family_true_proxy,0.9953784388202258,0.36,0.10999999999999999,,BENEFICIAL,multimodal,multimodal,0.46799999999999997,0.36601480677147535,0.8,0.6899437584583995,0.39744
